,x,y,z,CLUSTERS_DBSCAN_2d,CLUSTERS_DBSCAN_3d
237,202.194901,93.144417,22.552738,0,1
238,199.412498,93.37965,22.870275,-1,-1
239,201.688499,91.600519,23.2796,0,1
240,200.772686,97.606661,20.6222,0,1
241,197.360748,102.104797,19.49795,-1,-1
242,201.689255,98.972274,19.957325,0,1
243,199.331682,101.0911,19.181451,-1,-1
244,207.398804,91.853959,22.453313,0,1
245,205.1082,93.58075,21.965151,0,1
246,204.602986,92.020848,22.652201,0,1
247,205.926396,95.294834,20.9984,0,1
248,206.841652,96.675598,20.39745,0,1
249,208.184502,99.973611,18.941993,0,1
250,207.348549,98.249901,19.684588,0,1
251,204.430099,97.775349,20.169037,0,1
252,202.43329,97.091535,20.634712,0,1
253,203.9197,96.19748,20.813299,0,1
254,212.020653,94.445301,20.960499,0,1
255,211.10511,93.064723,21.5534,0,1
256,215.703247,94.6782,20.551869,0,1
257,214.034401,95.151199,20.485775,0,1
258,203.033401,102.31625,18.480688,0,1
259,205.344198,99.134487,19.409,0,1
260,202.189061,100.544808,19.232162,0,1
261,203.673193,99.635639,19.386775,0,1
262,206.185801,100.900919,18.619801,0,1
263,206.698349,102.501503,18.043437,0,1
264,204.694514,101.801211,18.4462,0,1
265,201.043896,103.235094,17.8134,0,1
266,201.548801,104.825015,17.49125,0,1
267,199.572642,104.170394,18.257251,0,1
268,203.952115,103.698998,17.7925,0,1
269,207.625351,103.8997,17.410737,0,1
270,205.9534,104.3964,17.386587,0,1
271,204.463905,105.307499,17.238625,0,1
272,216.534697,96.416733,19.667601,0,1
273,217.046852,98.007202,19.060963,0,1
274,215.03405,97.297863,19.452175,0,1
275,219.413117,95.882889,19.6299,-1,-1
276,220.258354,97.657249,18.939262,-1,-1
277,211.87365,100.248051,18.526487,0,1
278,209.855453,99.529059,18.903088,0,1
279,211.356601,98.650603,19.121401,0,1
280,214.280498,99.150398,18.7118,0,1
281,217.970047,99.394083,18.394262,0,1
282,216.296898,99.873398,18.337824,0,1
283,214.793098,100.752197,18.12695,0,1
284,212.795799,101.638598,17.875125,0,1
285,209.105092,101.394779,18.1826,0,1
286,209.617249,103.000298,17.613762,0,1
287,211.125,102.114353,17.814488,0,1
288,216.528404,102.9095,17.167363,-1,-1
289,219.331253,102.78035,17.051424,0,1
290,218.815899,101.167491,17.601799,0,1
291,215.088625,106.427497,15.8988,0,1
292,213.408983,106.908231,15.837375,0,1
293,211.908554,107.805565,15.64505,0,1
294,224.001106,105.4731,15.770487,-1,1
295,226.669853,105.195251,15.678962,0,1
296,226.314714,103.703688,15.953899,-1,1
297,221.637848,107.61795,15.2013,0,1
298,219.61497,106.885613,15.516475,0,1
299,221.119285,105.990574,15.7158,0,1
300,189.15123,105.271787,20.6565,0,1
301,190.073853,106.657101,19.946262,0,1
302,195.944004,105.707992,18.323601,0,1
303,197.920096,104.734714,18.255051,0,1
304,196.447588,107.298477,17.760537,0,1
305,199.628304,106.831367,17.318001,-1,-1
306,200.206451,109.52335,16.403655,0,1
307,201.863297,108.966248,16.321251,0,1
308,205.316597,107.101178,16.475413,0,1
309,202.474701,106.224534,17.083099,0,1
310,203.337349,108.028301,16.448988,0,1
311,206.245651,108.511749,15.926506,0,1
312,203.841996,109.624119,15.2244,0,1
313,204.775505,111.045002,15.24405,0,1
314,206.75605,110.1194,15.31195,0,1
315,198.232697,110.4846,16.471062,0,1
316,194.289783,110.309085,17.3855,0,1
317,197.375849,108.699093,17.177162,0,1
318,195.728151,109.297506,17.337375,0,1
319,198.736924,112.084017,15.8127,0,1
320,201.928146,111.645901,15.436275,-1,-1
321,199.6735,113.501598,15.283762,0,1
322,209.91912,108.695215,15.4407,0,1
323,208.243708,109.197961,15.414975,0,1
324,205.629588,112.839986,14.4742,0,1
325,206.144719,114.454276,13.6515,0,1
326,204.156922,113.781389,14.385738,0,1
327,208.496147,112.278673,14.39175,-1,-1
328,211.291748,112.125149,14.218325,0,1
329,210.776489,110.503406,14.7421,0,1
330,213.65625,109.981998,14.784312,-1,-1
331,216.461548,109.86235,14.679137,0,1
332,215.943782,108.238114,15.203,0,1
333,218.866374,108.76941,14.8633,0,1
334,222.574547,109.032659,14.625563,0,1
335,220.891548,109.510242,14.554163,0,1
336,219.38485,110.395351,14.34565,0,1
337,217.395021,111.268377,14.0548,0,1
338,215.712707,111.742954,13.9862,0,1
339,214.210503,112.638749,13.789675,0,1
340,212.221886,113.526306,13.5795,0,1
341,209.054244,114.948188,13.414475,0,1
342,207.076979,115.870196,13.2102,0,1
343,210.545416,114.026064,13.554213,0,1
344,209.916378,116.754716,12.7018,0,1
345,207.939681,117.683899,12.1421,0,1
346,208.457901,119.313351,12.158862,0,1
347,210.852303,118.183399,12.207425,0,1
348,218.248786,113.081261,13.3642,0,1
349,218.764847,114.700199,12.8308,8,8
350,219.698151,116.1096,12.265825,8,8
351,221.690552,115.232449,12.484543,0,1
352,215.956599,114.804572,12.8672,-1,-1
353,214.525848,118.368401,11.788231,0,1
354,212.85215,118.875103,11.772387,0,1
355,216.812149,116.622157,12.207763,-1,-1
356,213.596153,116.959801,12.355538,0,1
357,211.585735,116.246986,12.724263,0,1
358,213.078273,115.33553,12.8822,0,1
359,221.138,112.584301,13.478575,-1,-1
360,223.950302,112.481152,13.401225,0,1
361,223.430588,110.849097,13.9201,0,1
362,218.262047,119.645,11.065962,-1,-1
363,221.070801,119.5359,10.977763,0,1
364,220.54998,117.908823,11.4941,0,1
365,185.811401,111.105148,20.261646,0,1
366,182.036645,110.174494,22.3675,0,7
367,184.342896,109.289051,21.487001,0,1
368,186.570351,113.934402,19.16815,0,1
369,176.141372,117.567348,24.400349,0,1
370,175.004315,118.996769,24.926399,0,1
371,176.481345,119.102279,23.818912,0,1
372,179.443164,118.017414,21.9013,0,1
373,179.802399,119.513351,21.452862,0,1
374,186.570946,119.539799,17.903438,0,1
375,188.080399,115.8004,18.075087,0,1
376,185.24787,117.820612,18.768,0,1
377,186.852753,117.057301,18.278524,0,1
378,193.967599,122.927198,14.53315,0,1
379,195.297017,121.692914,14.336663,0,1
380,196.451797,123.950802,13.736238,0,1
381,194.775101,124.738899,14.1068,0,1
382,203.661394,130.056688,10.5342,0,1
383,204.998364,128.886311,10.57015,0,1
384,206.172501,131.196205,10.043225,0,1
385,204.420006,131.987549,10.327075,0,1
386,202.617851,134.290253,10.591613,0,1
387,202.554901,132.788704,10.740275,0,1
388,201.662498,131.018593,11.1384,0,1
389,179.857819,105.734165,25.2311,0,7
390,178.705688,109.6731,24.64085,0,7
391,180.807249,108.583103,23.704757,0,7
392,185.329392,104.204243,22.737763,0,1
393,186.254719,102.813266,22.833401,0,1
394,186.630859,106.920559,21.1231,0,1
395,187.130753,108.46505,20.49345,0,1
396,188.457279,107.346451,20.335337,0,1
397,177.235366,113.477303,24.587094,0,7
398,176.024384,111.91903,25.865,0,7
399,177.565697,111.016647,25.037749,0,7
400,180.927849,114.185749,21.972276,0,1
401,178.196942,116.398091,23.092963,0,1
402,179.730221,115.522449,22.383513,0,1
403,179.48566,112.443359,23.236401,0,1
404,184.283806,114.786747,19.986925,0,1
405,184.594452,112.347298,20.476062,0,1
406,183.001194,113.121544,20.993799,0,1
407,188.860403,111.556906,18.770599,0,1
408,189.371849,113.134903,18.224949,0,1
409,190.706245,112.019848,18.078037,0,1
410,183.195602,118.8634,19.673899,0,1
411,182.4518,117.283198,20.2899,0,1
412,183.444298,120.346451,19.262682,0,1
413,192.046349,105.605198,19.597475,0,1
414,194.185389,102.595239,19.9907,0,1
415,193.468796,104.590702,19.535175,0,1
416,195.107452,103.973499,19.344512,0,1
417,190.906853,108.36705,19.074349,0,1
418,189.5159,109.42205,19.213825,0,1
419,187.898203,110.111906,19.569599,0,1
420,191.410103,109.94595,18.39065,0,1
421,193.7976,108.725101,18.099688,0,1
422,194.511821,106.706017,18.497025,0,1
423,192.873519,107.327019,18.712799,0,1
424,193.185455,113.10215,16.937688,0,1
425,192.324294,111.338391,17.60015,0,1
426,191.78031,114.154468,17.067624,0,1
427,190.153282,114.836284,17.396537,0,1
428,202.499013,114.338073,14.46315,0,1
429,200.531017,115.298305,14.5188,0,1
430,203.437004,115.7677,13.96055,0,1
431,201.050056,116.93095,14.0386,0,1
432,196.074402,113.496201,16.075725,0,1
433,196.785168,111.474169,16.444801,0,1
434,195.14298,112.079606,16.633801,0,1
435,193.680685,114.701988,16.33435,0,1
436,191.469857,116.560084,16.534901,0,1
437,192.987846,116.79705,16.059775,0,1
438,194.624001,116.130047,15.778638,0,1
439,190.405151,120.634998,16.180263,-1,-1
440,190.626099,122.126648,15.916013,0,1
441,189.636282,118.966812,16.6847,-1,-1
442,196.571417,115.102402,15.4251,0,1
443,198.012185,114.089141,15.380738,0,1
444,199.092949,116.301102,14.646175,0,1
445,197.448051,116.917099,14.829925,0,1
446,195.445822,117.889319,15.044612,0,1
447,195.99575,119.556252,14.59635,0,1
448,193.273983,119.998675,15.2218,-1,-1
449,199.166599,119.026951,13.846112,-1,-1
450,197.746704,122.770603,13.497862,0,1
451,196.93758,121.008799,13.961,0,1
452,178.379156,122.173447,21.8345,0,1
453,177.646055,120.638352,22.587799,0,1
454,178.642944,123.670052,21.491207,0,1
455,177.195209,127.651848,21.864268,3,3
456,177.170574,127.647127,21.517763,3,3
457,177.888515,129.205902,21.204363,3,3
458,175.905985,130.3591,22.323455,3,3
459,175.15464,128.844596,23.066799,3,3
460,181.739799,122.7369,19.791801,0,1
461,181.94175,124.244701,19.512851,0,1
462,181.169081,121.275369,20.257999,0,1
463,185.561096,123.704151,17.77525,0,1
464,185.70565,125.2262,17.573999,0,1
465,184.739646,122.049722,18.2887,0,1
466,186.314716,123.678038,15.7207,0,1
467,180.711746,126.938,19.825925,0,1
468,180.883384,128.4646,19.579524,9,9
469,179.910133,125.335209,20.391701,0,1
470,184.101845,127.619102,18.026812,0,1
471,183.479263,126.103495,18.4098,0,1
472,184.21762,129.152153,17.831705,9,9
473,183.077301,131.852005,18.118237,9,9
474,182.230415,130.1898,18.6043,9,9
475,185.055496,130.837753,17.349362,9,9
476,180.650299,131.0364,19.369925,9,9
477,179.435129,132.40992,19.7852,4,4
478,180.218948,134.034096,19.262738,4,4
479,188.960907,124.455299,16.242801,-1,1
480,189.053154,125.98365,16.086,0,1
481,187.085354,126.986402,16.7104,0,1
482,192.853546,125.62685,14.66595,0,1
483,192.929749,127.146648,14.520437,0,1
484,191.97466,123.898296,15.0933,0,1
485,187.942032,128.687884,16.039801,0,1
486,188.034907,130.24061,16.094825,11,1
487,191.351494,129.495453,14.909925,10,1
488,191.409348,131.06295,14.790837,10,1
489,190.717623,127.945067,15.2174,0,1
490,189.461875,132.027501,15.3819,11,1
491,200.740997,123.314049,12.624525,0,1
492,201.417809,121.194355,12.866288,0,1
493,199.770784,121.828621,13.0797,0,1
494,197.640122,126.703917,12.93145,0,1
495,196.30892,127.965108,13.1789,12,1
496,198.833054,128.97245,12.364888,0,1
497,197.189301,129.7061,12.764762,12,1
498,195.23365,130.6717,13.3991,12,1
499,195.312103,132.199493,13.25525,13,1
500,193.538534,128.68932,14.0837,0,1
501,203.945492,117.381386,13.337125,0,1
502,202.858398,120.18045,12.856313,0,1
503,205.409225,116.413291,13.387,0,1
504,201.977022,118.344885,13.4122,0,1
505,204.812512,119.204513,12.6705,0,1
506,205.753899,120.64415,12.191787,0,1
507,206.471421,118.638216,12.57845,0,1
508,203.365995,121.813414,12.2805,0,1
509,201.289579,124.998628,12.13665,0,1
510,202.657665,123.891154,12.027975,0,1
511,204.314301,123.264851,11.82515,0,1
512,205.203049,125.111851,11.233675,0,1
513,203.77692,126.157625,11.337625,0,1
514,205.713699,126.7701,10.855238,0,1
515,202.125693,126.812809,11.5968,0,1
516,206.266087,122.275012,11.610837,0,1
517,209.387678,120.727694,11.541188,0,1
518,207.721007,121.285304,11.6209,0,1
519,211.376782,119.799157,11.5649,0,1
520,213.10777,121.960618,10.718175,-1,-1
521,210.258313,122.555899,10.8888,0,1
522,210.781403,124.200699,10.448675,0,1
523,213.988449,123.808197,10.176025,-1,-1
524,207.143282,124.123,11.0067,0,1
525,208.093399,125.584599,10.57165,0,1
526,208.800789,123.534591,10.876412,0,1
527,210.052698,126.22679,10.03535,0,1
528,211.722993,125.646847,9.923613,0,1
529,208.603085,127.246471,10.0756,0,1
530,212.6315,127.536652,9.465375,0,1
531,215.902596,121.803299,10.537362,0,1
532,215.384892,120.171582,11.0306,0,1
533,216.845894,123.235149,10.032256,0,1
534,218.819847,122.333401,10.159006,0,1
535,222.013598,120.949822,10.401,0,1
536,221.382851,123.73505,9.705375,0,1
537,220.321901,121.425737,10.319275,0,1
538,222.898796,122.834702,9.896387,0,1
539,217.732787,125.103016,9.4109,0,1
540,216.247522,126.049905,9.1502,0,1
541,214.568502,126.588915,9.348687,0,1
542,215.525497,128.078102,9.007525,0,1
543,219.690787,124.207898,9.5331,0,1
544,220.647751,125.692078,9.1964,0,1
545,222.689705,126.453701,9.032512,0,1
546,221.17675,127.387848,8.88385,0,1
547,218.265317,126.779076,9.0045,0,1
548,217.532393,128.794638,8.71225,0,1
549,216.043953,129.780501,8.666225,0,1
550,219.235659,128.271468,8.71855,0,1
551,223.427207,124.490919,9.3903,0,1
552,224.398003,125.97412,9.103387,0,1
553,225.31732,127.953199,8.6939,0,1
554,225.85582,129.673217,8.457475,0,1
555,225.425453,131.275703,8.258938,0,1
556,223.929922,128.85239,8.5504,0,1
557,200.357849,127.891998,11.996875,0,1
558,199.292601,125.992115,12.4965,0,1
559,207.56485,130.11515,9.856525,0,1
560,206.661928,128.236303,10.2816,0,1
561,210.3749,129.437594,9.376,-1,-1
562,212.420799,131.302803,8.869375,0,1
563,210.933052,132.386452,8.944275,0,1
564,213.150381,129.213729,9.0077,0,1
565,214.120371,130.714908,8.709063,0,1
566,220.189894,130.25631,8.35185,0,1
567,222.046202,129.431699,8.4362,0,1
568,223.074284,130.900106,8.254375,0,1
569,220.706415,131.993738,8.152087,0,1
570,220.706404,131.992495,7.882525,0,1
571,218.484412,131.391619,8.250275,0,1
572,216.966291,131.772597,8.2816,0,1
573,217.953601,133.303883,8.092425,0,1
574,219.822389,133.717192,7.9655,0,1
575,221.597696,133.669716,7.939775,0,1
576,223.770874,132.660508,8.0208,0,1
577,223.571303,135.162111,7.816225,0,1
578,216.490718,136.111405,7.9466,0,1
579,218.675316,135.084015,7.8969,0,1
580,189.710545,75.237847,39.608,14,-1
581,190.389753,76.560312,38.096657,14,-1
582,188.343553,77.670464,38.357937,14,-1
583,188.871696,79.858902,36.149874,15,-1
584,186.821115,80.958516,36.448599,0,-1
585,187.351375,83.160579,34.347601,0,-1
586,188.919701,82.498749,34.008364,0,-1
587,190.32695,81.546349,33.984388,0,-1
588,181.630087,89.680235,33.127901,-1,-1
589,180.985012,92.107712,31.919931,0,1
590,226.056013,107.24031,14.9859,0,1
591,224.556621,108.144371,14.808975,0,1
592,222.862209,91.467922,20.980325,0,1
593,224.266791,90.565299,21.102499,0,1
594,223.564499,91.016602,17.77005,0,-1
595,222.366249,89.9245,21.894338,0,1
596,223.108972,88.032801,22.514013,0,1
597,221.453084,88.558714,22.539299,0,1
598,222.116306,85.947563,23.6183,0,1
599,220.635582,86.847334,23.45765,0,1
600,221.555504,80.848251,26.139075,0,1
601,217.899918,80.669648,26.619801,0,1
602,219.900452,81.353001,26.124899,0,1
603,218.405403,82.226852,25.918663,0,1
604,220.654854,79.511054,26.9444,0,1
605,220.148213,77.977762,27.687799,0,1
606,218.662498,78.854714,27.479462,0,1
607,222.173652,77.02695,27.966862,0,1
608,221.384279,75.419473,28.8906,0,1
609,220.9076,73.964798,29.8591,0,1
610,220.051315,72.707267,30.9699,0,1
611,218.49115,75.096467,29.79015,0,1
612,219.348051,76.289023,28.879932,0,1
613,219.315901,71.171484,32.446206,0,1
614,218.815015,69.007863,34.321299,0,-1
615,214.397393,72.753734,32.69755,0,-1
616,217.248251,72.116735,32.332677,0,1
617,218.761218,66.335938,36.761926,-1,-1
618,216.864969,65.900471,37.83255,-1,-1
619,217.649617,64.224668,39.010801,-1,-1
620,215.558408,62.615093,41.31022,-1,-1
621,209.690261,63.525857,42.366499,-1,-1
622,210.393433,64.866913,40.891531,0,-1
623,213.251882,64.253598,40.540905,0,-1
624,214.851741,61.208637,42.922765,-1,-1
625,213.605082,58.845475,45.773401,-1,-1
626,211.308915,60.520499,44.939867,-1,-1
627,211.957953,61.761925,43.393649,-1,-1
628,208.244743,61.844594,44.656698,-1,-1
629,206.145248,62.798057,44.472425,0,-1
630,203.069732,64.111434,44.174651,0,-1
631,200.974821,65.078416,44.0091,0,-1
632,202.019295,64.576799,40.044751,0,10
633,201.990127,63.932577,40.044751,0,10
634,201.990127,63.932577,40.044751,0,10
635,201.990127,63.932577,40.044751,0,10
636,201.990127,63.932577,40.044751,0,10
637,201.990127,63.932577,40.044751,0,10
